3054: adivinanzas | ¿que es un pollito de verde? un pollicia 
7082: atlantes | ¿saben lo que hace un atlante para matar la sed?pues toma agua con veneno 
2662: adivinanzas | ¿como se llama un pez que cae del 15° piso?aaaaaaa...tun.  
6759: atlantes | un atlante se encuentra en un casino de las vegas frente a una maquina de sodas. el atlante introduce unas monedas, presiona un boton, y recibe una soda. vuelve a introducir otras monedas, y recibe otra soda. y vuelve a introducir otras monedas, y recibe otra soda mas. un señor se acerca y le dice:señor, ¿puedo utilizar la maquina, por favor? a lo que el atlante responde: ¡alejese, alejese! ¿no ve que estoy ganando 
3929: machistas | ¿cual es el astro de la mujer? el astropajo.  
6384: pepito | pepito le pregunta a la maestra:maestra, ¿a que edad se muere un burro? y la maestra le responde: ¿por que pepito? ¿ya te sientes mal 
5089: niños | mientras el avion atestado esta a punto de despegar, la calma es rota por un pequeño de 5 años que escoge ese momento para hacer una tremenda rabieta. no importa lo que hiciera la frustrada y avergonzada madre para calmarlo, el niño continuaba gritando furiosamente y pateaba los asientos alrededor. de pronto, desde el fondo del avion se levanto un anciano general en uniforme, con el pecho cubierto de condecoraciones, que camino lentamente por el pasillo, llego hasta donde estaba el niño e inclinandose suavemente le dijo algo al oido. de inmediato, el niño se tranquilizo, tomo la mano de su madre, y se abrocho su cinturon. todos los pasajeros empezaron a aplaudir. mientras el general regresabalentamente a su asiento, una de las azafatas le dijo: disculpe, señor, pero podria decirme que palabras magicas uso para callar a ese pequeño. el viejo sonrio y dijo: simplemente le mostre mis condecoraciones, y le explique que todas esas medallas me autorizaban a tirar a un pasajero por la puerta del avion, en el momento que yo quisiera.  
1478: computacion | ¿cual es la diferencia entre un vendedor de automoviles y uno de computadoras? el segundo no sabe cuando miente.  
615: chistes_cortos | un bombillo en una fiesta le dice a otro:te noto como apagado.  y el otro responde: no, es que estoy fundido 
5214: niños | la niña pregunta a la madre, que significa infiel, la madre le dice, si yo anduviera con otro hombre que no fuera tu papa, yo seria una mujer infiel, si tu papa anduviera con otra mujer que no fuera yo, el seria un hombre infiel. la niña despues de meditar unos segundos, dice:mama, si mi papa anduviera con otra mujer que no fueras tu, no seria un infiel, seria un hombre muerto 
7954: autos | un dia un paletero iba caminando por una via principal en la ciudad a eso de las 6:00 de la tarde. a la  vez, un motociclista de entrega de pizza iba apurado porque se le acababa la media hora de entrega. iba esquivando los carros y metiendose por donde veia un espacio. en una de esas se le tira el paletero (vendedor de helados) en frente y lo choca.el pobre repartidor de pizza empezo a gritar:  ay, ¡mate al paletero! ¡no puede ser!, señor paletero, digame lo que tiene para decirle a la ambulancia, por favor, ¡digame lo que tiene!  en eso, el paletero abrio los ojos y empezo a murmurar:  coco, limon, maracuya.. 
6467: pepito | esta un niño sentado en la banqueta y ve pasar al paletero y se le antoja una paleta.  para al paletero y le dice que lo espere que le va pedir dinero a su mama, en eso pasan 15 minutos y el niño no sale de su casa, el paletero se desespera y se va. cuando el paletero va a 3 calles sale el niño y grita:paletero, paletero venga. y el paletero llega apresurado con el niño, y este le pregunta el precio de las paletas a lo que el paletero responde: tres pesos. y el niño le dice que lo espere que va a pedir dinero, de nuevo se demora el niño y el paletero se vuelve a ir. cuando el paletero va a 4 calles, el niño sale y le grita que regrese de nuevo. el paletero regresa molesto y le pregunta de que sabor quiere su paleta, y el niño le responde: dice mi mama que no tiene dinero 
967: circos | pues llega un famoso circo al pequeño poblado, y su gran atractivo era el hombre que se hacia animal. llegado el dia de la primera funcion del circo, el lugar estaba lleno y empieza la funcion, se apagan todas las luces del escenario, menos una que era la que alumbraba al maestro de ceremonias y empezo a hablar:señoras y señores bienvenidos al mejor circo del mundo. toda la concurrencia aplaude, y el maestro de ceremonias continua: este es el unico circo en el mundo que les presentara frente a sus ojos al unico hombre que se hace animal, y la concurrencia toda emocionada aplaude aun mas fuerte. pero primero tendremos a nuestros equilibristas; pues salen los equilibristas al escenario, hacen su numero. vuelve a salir el maestro de ceremonias y despues anuncia el acto de los leones, y asi sucesivamente todos los actos del circo, hasta que llegan al acto mas esperado de todos: el hombre que se convierte en animal. las luces se apagan, de repente aparece una silla de color oro en el centro del escenario, sale un personaje vestido con pantalones de mezclilla, una camisa verde de manga corta y en sus manos traia una bolsita de plastico. llega al centro de la pista, se acomoda se sienta en su silla, extiende una mano y saca de la bolsita de plastico una cajetilla de cigarros, enciende uno y se pone a fumar. los comentarios de los asistentes no se hicieron esperar, entre lo que se podia escuchar era: mira, ya le esta saliendo pelo de las manos te fijas como ya le estan empezando a salir garras. y un sin fin de comentarios mas; mientras tanto el señor seguia sentado fumando, cuando se acabo su cigarro saco un refresco de la bolsita y se lo empezo a tomar. asi pasaron los minutos, y las horas; el señor fumaba y tomaba soda. llego un momento en que el publico se empezo a desesperar, pero pacientemente aguardaban ya que aquello seria un acto unico. llego un momento en que fue tanta la desesperacion que un asistente se levanto del publico despues de varias horas, y grito: ¡ese hombre se esta haciendo buey!  ahi lo tienen señoras y señores el unico hombre que se convierte en animal 
5973: animales | ¿que hacen dos pollitos pequeños frenta a una rotiseria?viendo un pelicula de terror 
3615: jaimito | jaimito entra a un negocio y dice:un par de anteojos, por favor. y el vendedor le dice: ¿para el sol? jaimito responde: ¡no, para mi 
7680: telefonos | hola, ¿hablo con la panaderia la caprichosa?no, y no, y no.  
4258: mama_papa | era una niña que llega con su papa y le dice:oye papa, a que no sabes lo que aprendi hoy en la escuela. y el papa le dice: no hijita, no se. fijate que me dijo la maestra tonta, que hitler comenzo la segunda guerra mundial, que porfirio diaz no soltaba el poder y que napoleon queria gobernar europa. y el papa le dice: ay hija mia, de hoy en adelante no quiero que te juntes con esos chamacos para nada.  
4204: mama_papa | mama, mama, en la escuela me dicen que estoy cabezon.no les hagas caso hijo, y subete al cerro para que les des sombra al pueblo 
7898: una_linea | esto va un coche convertible, choco y murio vertible.</div><div class=opciones> <span class=chisteid>#89369</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=89369' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
1769: doctores | una mujer va al doctor.doctor vengo para que me examine los pechos. y el doctor la mira y dice: ¡sobresaliente y sobresaliente 
6279: animales | el pollito que se acuesta en el riel de la carrilera del tren y el hermanito al verlo, sale corriendo donde la mama gallina:¡mami, mami, mi hermanito se va a suicidar!  y corre la mama a salvar a su hijo pollito, y toda angustiada llega y le pregunta: ¿que haces, te vas a suicidar?  no mami, yo solo estoy aqui escuchando musica de carrilera.   
467: chistes_cortos | ¿como se dice hazme reir en ärabe?hasmejaja. ¿como se dice lluvia en árabe? tevamoja. ¿como se dice comida rapida en chino? yata.  
6574: policias | un motociclista va por la ruta a 220 km/h cuando lo para un policia y le dice:señor, deme los papeles de la moto y el motociclista le dice: ¿que papeles?, si la compre desenvuelta.  
857: chistes_cortos | esta era una gorda, pero tan gorda, que se quedo encerrada en un supermercado y murio de hambre.</div><div class=opciones> <span class=chisteid>#26300</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=26300' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
7357: religiosos | al parroco le estaban haciendo su cena de despedida por 25 años de trabajo en una parroquia. un politico miembro de la comunidad fue invitado para dar un breve discurso. como el politico tardaba en llegar, el sacerdote decidio decir unas palabras el mismo para llenar el tiempo: mi primera impresion de la parroquia, la tuve con la primera confesion que me toco escuchar. pense que me habia enviado el obispo a un lugar terrible, ya que la primera persona que se confeso me dijo que habia robado un televisor, que habia robado dinero a sus padres, habia robado tambien en la empresa donde trabajaba, ademas de tener aventuras con la esposa de su jefe. tambien en ocasiones se dedicaba al trafico y a la venta de drogas. el padre continuaba - me quede asombrado, asustadisimo. pero cuando transcurrio un tiempo, fui conociendo mas gente y vi que no eran todos asi, vi una parroquia llena de gente responsable, con valores, comprometida con su fe. y asi he vivido los 25 años mas maravillosos de mi sacerdocio.justamente en este momento llego el politico, por lo que se le dio la palabra. por supuesto, pidio disculpas por llegar tarde y empezo a hablar diciendo: nunca voy a olvidar el primer dia que llego el padre a nuestra parroquia. de hecho, tuve el honor de ser el primero que se confeso con el ...  
5580: otros | pedro, ¿por que siempre te veo medio borracho? porque siempre se me acaba el dinero antes de emborracharme del todo.  
1179: colmos | ¿cual es el colmo de un cerrajero? que se le queden las llaves dentro de su casa 
7152: atlantes | ¿cuantos atlantes se necesitan para hundir un submarino?dos, uno que golpee la puerta, y otro que la abra 
5615: otros | me puse el pantalon de rayitas, y rayitas se quedo sin pantalon.</div><div class=opciones> <span class=chisteid>#75983</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=75983' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
2011: actos | primer acto: un generalsegundo acto: un motor tercer acto: el general en el motor ¿como se llama la obra? general motor 
7293: atlantes | el dueño de un apartamento llego muy tarde como de costumbre y descubrio que habian robado en el mismo. llamo a la policia. el investigador solo hizo una inspeccion visual y pregunto si vivia algun atlante en el edificio, y al respondersele que si, lo acuso inmediatamente. el dueño del apartamento quedo asombrado de la pericia del policia y pregunto a este:¿como pudo saber eso tan rapido? a lo que el policia respondio: ¿ve usted el hueco en la pared del frente? si, lo veo perfectamente, dice el afectado. pues por ahi entro el atlante, responde el policia, y por el hueco que esta al lado fue por donde salio 
3316: adivinanzas | primer acto: una bolsa de te sola en una isla. segundo acto: una bolsa de te de nuevo sola en una isla. ¿como se llama la pelicula? te solo 
5387: otros | -tio he soñado que ganaba 200 millones como mi padre.-¿tu papa gana 200 millones? -no tambien lo sueña  
7874: una_linea | ¿cual es el carro que da mas trabajo.el mazda 
3987: machistas | ¿como se dice pelo sucio en chino?chinchampu 
6032: animales | esta era una vez en que se estrello un avion, llega el fbi, la cia, y otros cuerpos mas de investigacion y consiguen al unico sobreviviente que era un monito. a este lo llevan a un centro cientifico para comunicarse con el y le preguntan al monito:monito monito, ¿como iban los pasajeros?  el monito responde: gui, gui, guiillliii (con los manos en los ojos) y monito, monito, ¿como iba el copiloto? el monito responde: gui, gui, guiillliii (con los manos en los ojos) y, monito, monito, ¿como ibas tu? el monito responde: ¡ññññiuuuuuuuuuuuuuuuuuuuuuuuuu!(simulando las manos en el volante) 
443: chistes_cortos | en un barco viaja un español y un ingles. el ingles se cae al agua y grita:¡help! ¡help! ¡help! entonces dice el español: gel no tengo, pero si quieres shampoo 
4396: amigos | un hombre agobiado por las deudas y presiones economicas, decide acabar con su desdichada vida lanzandose por la borda del yate de su compadre, y con una gran piedra atada al cuello:¡chao mi compai, lo voy a extrañar! le dijo, entre sollozos mientras se lanzaba al mar. aun el compadre no se recuperaba de su dolor cuando repentinamente una mano que salia del agua le pedia desesperadamente ayuda: ¡saqueme rapido, compai! ¡saqueme rapido!  ¡que bueno que se arrepintio mi compai!, decia mientras terminaba de subir a su compadre y la piedrota.  ¡que bueno ni que ocho cuartos! ¡lo que pasa es que alla abajo hay un buzo al que le debo 200 dolares 
6173: animales | llega la ovejita y le dice a la mama:mama, ¿puedo ir al parque? a lo que la mama responde: be-e-e-e-e hija, be-e-e-e-e.  
833: chistes_cortos | ¿cuantas estrellas tiene el cielo?50. ¿por que? porque es sin cuenta 
4479: amigos | se encuentra un amigo con otro y le dice:hermano, ¿se le cayo la casa? y le responde: ¡no, yo que la desarme para limpiarla!  
3377: adivinanzas | adivina, adivinador ¿que le cuelga al gobernador?la corbat 
2085: era_una_vez | era un mes tan seco que las vacas de mi abuela dieron leche en polvo.</div><div class=opciones> <span class=chisteid>#116533</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=116533' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
2259: feministas | ¿que hacen dos neuronas en el cerebro de un hombre?no se sabe, aun no se da el caso 
6418: pepito | pepito le dice a su mama a la hora de la comida:mama, mama, tirame sopa en mi plato. no se dice tirame se dice sirveme, dice la mama. mama, mama tirame milanesa. a lo que la mama contesta: no se dice tirame, se dice sirveme.  al poco rato dice pepito: mama, mama, tirame arroz. a lo que la mama le contesta lo mismo. en la tarde llega pepito alarmado y le dice a su mama: mama, mama, ¡mi hermanito se sirvio por la ventana! 
7850: una_linea | ojos que no ven, ¡torta que te pegas!</div><div class=opciones> <span class=chisteid>#19144</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=19144' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
4810: militares | un militar, a su subordinado:- digame, sargento, ¿que hizo para cumplir mi orden de impedir al enemigo usar el tren? ¿lo dinamito? - no, señor. compre todos los boletos 
6864: atlantes | ¡julio!, que causalidad, despues de tanto tiempo, pero hay que ver lo que has cambiado.eh, debes haber empezado a hacer ejercicio, porque mira que has adelgazado. te ves fenomenal, si hasta parece que tienes mas pelo, ¿es postizo? lo digo porque antes lo tenias rizado.  y tambien has cambiado de sastre, obviamente; pero si era imposible verte con un traje, y ahora llevas una de esas corbatas que odiabas tanto. y las arrugas, si tienes la piel que parece la de un niño, claro que a lo mejor es porque te has cortado la barba. pero te queda muy bien, igual que los lentes de contacto, me alegro, porque las gafas aquellas no te favorecian, y ademas ahora tienes los ojos de color azul, dime picaron, ¿se liga mas asi, eh?  perdone, pero yo no me llamo julio.  ¿que? ¿tambien te has cambiado de nombre?   
6623: por_que | -¿por que los funcionarios publicos son ateos?-porque no creen que despues haya una vida mejor.  
2344: feministas | detras de un hombre inteligente, hay una mujer sorprendida.</div><div class=opciones> <span class=chisteid>#71597</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=71597' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5791: otros | sintomas de vivir en el 2001.parte i 1. buscar y escribir una password para hacer funcionar el  microondas.  2. no has jugado un solitario con cartas verdaderas en mucho tiempo.  3. le preguntas a un colega del cubiculo del lado via e-mail si al salir del trabajo desea pasar a tomarse unos tragos y el te responde, tambien por email, de acuerdo pero que le des 5 minutitos...  4. tienes una lista de 15 telefonos (entre casa, oficina, celular) para llamar a toda tu familia compuesta de 3 o 4 miembros.       5. hablas varias veces con una persona de norteamerica, sudamerica o europa, pero en lo que va del mes a tu vecino solo le has dicho: hola y adios.       6. compras una computadora de superoferta y resulta que al mes siguiente esta ya obsoleta.       7. el motivo principal por lo que pierdes a tus amigos es porque ellos no tienen un e-mail a donde les escribas.       8. para ti, ser organizado en la oficina significa tener post it de colores.       9. la mayoria de los chistes que ultimamente conoces los has leido por mail.       10. cuando regresas a casa despues de un largo dia de trabajo contestas el telefono diciendo el nombre de tu empresa.  
372: campesinos | estaba un grupo de turistas gringos recorriendo las chacras de un poblado rustico; en eso uno de ellos ve a un campesino tirado a la sombra de un arbol descansando. el gringo se le acerca y le busca conversacion:hola amigo, ¿como estar tu? muy bien jefe, aqui descansando. digame, por que usted no trabajar mas por sus tierras. ¿y para que? para tener grandes cosechas y vender mas. ¿y para que? asi tu poder ganar mas dinero y comprar ganado. ¿y para que? con el ganado hacer reproducir y vender y ganar mas dinero. ¿y para que? para tener una casa bonito y vivir tranquilo y descansar. ¿y que estoy haciendo?   
2142: exageraciones | era un hombre tan flaco, pero tan flaco, que para ponerle una inyeccion se la tenian que poner a la carne del almuerzo. era un hombre tan flaco, pero tan flaco, que no tenia intestino grueso.  era un hombre tan flaco, pero tan flaco, que cuando se pesaba la bascula le decia, montese pues.   
685: chistes_cortos | una señora va al doctor y regresa a casa llorando y su marido consolandola le pregunta:¿que te pasa? ¿por que lloras? es que fui al doctor y me dio malas noticias. ¿dime pues? sabes, me dijo que solo me queda un año de vida. bueno mujer, no te pongas asi, un año pasa muy pronto.  
3570: infierno | este era un señor muy humilde que se habia cansado de la vida y entonces desesperadamente decidio venderle el alma al diablo, un dia se fue a una montaña muy alta y empezo a gritar: ¡diablo te vendo mi alma! pero de nuevo no paso absolutamente nada, entonces se fue a la casa de un amigo y le dijo: amigo, ¿como hago para que el diablo me compre mi alma?, entonces este le dijo: pues anda de nuevo a la montaña y grita muy fuerte y este se fue y dijo: ¡diablo te vendo mi alma! entonces se oyo un fuerte temblor y de repente salio un diablo pequeño y dijo: ¡mando a decir mi papá que si se le fía por ahora porque no tiene dinero!</div><div class=opciones> <span class=chisteid>#342942</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=342942' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5457: otros | un panadero ambulante promocionaba su pan:¡caliente el rico pan! ¡caliente el rico pan! a ver, deme un pan, señor. le dice un hombre al panadero. el panadero le da un pan. ¿como? ¡pero si este pan esta frio! ¡claro! responde el panadero. ¿no oye? ¡caliente el rico pan 
2502: habia_una_vez | habia una vez un tipo tan, pero tan feo, que cuando nacio su mama no sabia que escoger; si la placenta o a el.</div><div class=opciones> <span class=chisteid>#130994</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=130994' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
7029: atlantes | habian dos atlantes en un aeropuerto. en eso por los parlantes llaman:señores atlantes, por favor suban a la planta alta. nadie subia, despues de un rato llaman de nuevo. señores atlantes, por favor suban a la planta alta. nadie subia, despues de cinco minutos llaman por los parlantes: ¡señores atlantes, por favor bajense de la palmera 
5826: otros | una tarde de verano, brenda llama a renata su prima:hola reni, ¿podes venir hoy a casa? no bren, hoy no puedo. ¿y por que no podes? porque estoy con torticolis. ¿y quien es torticolis 
4198: mama_papa | ¿mama, mama los platanos tienen plumas?no, ¿por que? entoces, me he comido al canario.  
4144: mama_papa | ¡mama!, ¡mama! ¿por que te casaste con mi papa?¡tu tambien te lo preguntas hijo 
7924: vampiros | un dia un vampiro entra a la pieza de un pequeñin y le dice:te voy a chupar la sangre. y este le dice: ¿por que no chupas mi chupete mejor 
3783: locos | en una sala un medico observa como cuatro internados juegan a los naipes mientras otro esta sentado sobre un armario. él medico les ve y les pregunta: - y aquel, ¿que esta haciendo?. - es un loco. ¡cree que es una lampara!. - ¿ah, si?, ¡eh!, usted, ¡baje inmediatamente de alli!. - pero, ¿que esta haciendo?, -dicen los otros enfermos-, ¡no se da cuenta que sin luz no podemos jugar!  
1324: abogados | metodo del gato para determinar la clase de abogado con que negocia:coloque un gato sobre su escritorio, si el gato sale corriendo, ese abogado es un perro. en cambio, si el gato se lanza sobre el abogado, es porque es una rata 
5598: otros | una vez a un joven le robaron su pan, entonces fue a la iglesia y le dijo al padre que le habian robado el pan; el padre le pregunto¿con intencion o sin intencion? no, con mantequilla 
1047: colmos | ¿cual es el colmo de un computador? el tenerle miedo a los ratones.  
1733: doctores | paciente: doctor, en cuanto me duermo, empiezo a roncar.medico: ¿son fuertes sus ronquidos? paciente: ¡si!, mucho. medico: ¿y le molestan a su esposa? paciente: no estoy casado. medico: ¿asi que duerme solo? entonces no creo que eso sea un problema. paciente: ¿que no es un problema? ¡me han despedido de cinco empleos a causa de ello!  
2216: feministas | cuando el cerebro de un hombre mide un centimetro, ¿que es lo que pasa?esta inflamado 
3687: jefes | el jefe llama al empleado mas holgazan para regañarlo, y le dice:¡ya me entere que ha estado haciendo apuestas en la oficina! a lo que el empleado le responde: ¡le apuesto 100 pesos a que no es cierto 
4506: matrimonios | estaba maria en un juzgado y el juez le pregunta:maria, me han dicho que usted mato a su esposo. y maria le responde: yo no lo mate, le voy a contar lo que paso. yo estaba lavando cuando el va y me empieza a tirar agua, y me dice: ¡como que te llueve!, yo no dije nada. luego me tira piedras y me dice: ¡como que te graniza!, yo tampoco respondi nada. despues el cogio un latigo y me empezo a dar, y me dice: ¡como que te relampaguea!. entonces ya me dio rabia, cogi un machete y le di un solo golpe diciendole: como que te parte un rayo.     
6243: animales | habia una vez una gusanito que vivia dentro de un zapato que todas las noches pensaba en morirse, el lunes dijo me quiero morir, el martes me tengo que morir, el miercoles me voy a morir el jueves, alguien se puso el zapato y se murio.</div><div class=opciones> <span class=chisteid>#63100</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=63100' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5885: animales | era un dia de fiesta en la selva, y los animales estaban reunidos divirtiendose, cuando de repente se acabo el licor. todos discutian quien iria a comprar mas licor. pero ninguno queria ir. decidieron enviar a una torguita que estaba en la fiesta. le preguntaron a la tortuguita si queria ir y ella acepto encantada:esta bien, yo voy. paso el tiempo y los animales siguieron bailando, cuando de repente ven el reloj y ya habia pasado una hora desde que habian mandado a la tortuguita, y empezaron a comentar entre ellos mismos: yo no se quien invento mandar a esa tortuga, si ella es muy lenta. hubiera ido yo, mejor, decia otro. y asi, todos se quejaban de la tortuga. cuando de repente aparece la tortuguita y los escucho murmurando y les dice: ¡con que hablando de mi, no, ahora no voy 
1874: doctores | llega la señora al medico y le dice al doctor:¡doctor, doctor, se me juntan las letras! y que quiere, ¿que se las pague yo 
6356: papa_papa | papa, papa, en la escuela me dicen que eres un ignorante.y, ¿que es eso mijo 
3735: ladrones | un dia comun y corriente, un ladron estaba asaltando a una señora. de repente empezo a sonar el celular de la señora, y el ladron le dijo:¡deme su celular! y la señora dijo: esta bien, 09-5552362.  
2019: actos | primer acto: aparece un chico llamado aitor en una sala de baño sentado en el excusado.segundo acto: aparece otro chico impaciente, y llamando a la puerta grita: ¿terminas ya? ¿como se llama la pelicula? termina aitor 
6555: policias | un policia que va persiguiendo a un ladron, lo pierde en una esquina y le pregunta a un hombre:¿vio a alguien doblar esta esquina? no, cuando yo vine ya estaba doblada 
7512: suegras | un dia el yerno va a la casa de su suegra y ella le pregunta:¿y esto, usted por aqui? es que hoy tuve una pelea con mi esposa y ella me mando al infierno.  
6381: pepito | el papa de pepito decide irse a vivir a los estados unidos con toda la familia y pepito ingresa a una escuela.la maestra pregunta a pedrito: a ver pedrito, deme un ejemplo de la palabra evidentemente. bueno maestra, mi papa, mi mama, mis hermanos, y yo, fuimos a comer a un restaurant, evidentemente que mi mama no cocino ese dia. muy bien pedrito, a ver juanito deme un ejemplo de la palabra evidentemente. mi papa, mi mama, mis hermanos, y yo, nos fuimos a la playa, evidentemente que la casa quedo sola. muy bien juanito. a ver pepito, deme un ejemplo de la palabra evidentemente. bueno maestra, yo estaba sentado en el corredor de mi casa, y vi pasar a mi abuelita con el diario new york times paper, y dije: evidentemente va a cagar, porque no sabe leer ingles.  
661: chistes_cortos | ¡mama, mama, ya no soy virgen!pero niña si solo tienes 9 años. ahora soy pastorcita, mami 
2261: feministas | los hombres inteligentes son como los ovnis. todos escuchan sobre ellos, pero nadie los ve.</div><div class=opciones> <span class=chisteid>#50618</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=50618' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
6464: pepito | pepito no juegues en la tierra, y pepito se fue a la luna.</div><div class=opciones> <span class=chisteid>#9737</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=9737' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5720: otros | un argentino regresa de su viaje a italia y le pregunta un amigo:¿que fue lo que mas te sorprendio de italia? que hubieran tantos italianos con apellido argentino 
4347: amigos | dos hombres se encuentran por la calle y uno le dice al otro:hombre, juan, que alegria, chico, ¿como has cambiado? antes eras bajo, y parece que has crecido, antes eras gordo y ahora eres delgado, antes eras moreno y ahora eres rubio... de repente lo interrumpe el otro y le dice: pero, ¡si es que yo no soy juan! ¡cielos!, replica el primero, ¡tambien te has cambiado el nombre 
4567: matrimonios | una pareja estaba teniendo una discusion acerca de las finanzas familiares. finalmente el esposo explota y dice: ¡si no fuese por mi dinero, la casa no estaria aqui!la esposa respondio: ¡querido, si no fuese por tu dinero, yo no estaria aqui!  
6547: pepito | un dia la maestra le pregunta a los estudiantes:¿cuantos de ustedes han ido a nueva york? y pepito levanto la mano y la maestra le pregunta: ¿viste la estatua de la libertad? no maestra, vi solamente la de cristobal colon.  
3950: machistas | ¿como se dice guerra en arabe?bala va bala viene 
3014: adivinanzas | ¿que es una losa?una flol muy helmosa.  ¿que es una lata? la mama de los latoncitos 
5277: niños | va un niño donde el papa y le dice:papi, papi afuera hay un ovni. ¿que dices?, le dice el papa al niño. que afuera hay un ovni, le dice el niño. el papa sale y mira y le dice: ¿donde esta no lo veo? y el niño le dice: claro que lo ves, que no ves que es el ovnibus 
128: borrachos | este es un borracho que se subio a un bus y todos los asientos estaban ocupados. entonces, le toco irse parado.cuando el bus frenaba el borracho caminaba para adelante y esto se repitio a menudo durante el trayecto. cuando llego a su parada el borrachito se bajo y el conductor le pregunta: ¿no me piensa pagar? que quiere , ¡si yo me vine todo el camino caminando 
8141: bares | este es un señor que entra en un bar y le dice al camarero:¿me puede traer una tortilla? en esto que el camarero le pregunta: ¿francesa o española? y el cliente le contesta: me da igual, no voy a hablar con ella 
2454: graffiti | no es facil vivir una vida dificil.lo mas facil de la vida es dejar que pase desapercibida.  
4648: matrimonios | un hombre llega a la casa de su novia a pedir su mano, los futuros suegros le preguntan:bueno, ¿usted si es un hombre trabajador? el hombre les responde muy alentado: claro, yo soy un buen trabajador. y su suegro le responde: menos mal, porque aqui somos 12 personas 
5955: animales | ¿que le dijo una serpiente a otra?¡eres una arrastrada 
6715: profesores | este es un alumno que le pregunta al profesor:¿cuanto pesa la tierra? y el profesor le dice: buena pregunta, buscadlo y mañana me lo decis. ese dia el profesor busco la respuesta por todas las enciclopedias, y al dia siguiente pregunto si alguien lo habia encontrado, y como nadie dijo nada lo dijo el: la tierra pesa 128.239.496 toneladas. y el alumno que le hizo la pregunta le volvio a preguntar: ¿con gente o sin gente 
4733: matrimonios | esta una pareja en el altar, y el novio empieza a rezar y dice señor:¡que mi mujer no me engañe! ¡que si me engaña, no me entere! ¡y si me entero, que no me importe 
3075: adivinanzas | ¿en que se parece una bomba a un foco?en que la bomba estalla y el foco esta alla 
